"SOG"	"COG"	"Heading"	"ROT"	"BaseDateTime"	"Status"	"VoyageID"	"MMSI"	"ReceiverType"	"ReceiverID"	"coords.x1"	"coords.x2"	"VesselType"	"Length"	"Destination"	"min_timediff"	"interval"
5	77	77	0	"2009-12-01 08:00:00"	0	17	319653000	"r"	"17PAKU1"	-166.631665	54.285928	70	185	"PASIR GUDANG"	1	1
11	276	271	0	"2009-12-01 08:00:00"	0	21	355521000	"r"	"17PAKU1"	-165.620332	54.383115	70	190	"HAKATA,JAPAN"	1	1
4	156	178	0	"2009-12-01 08:00:00"	7	24	303628000	"r"	"17PAKU1"	-165.045683	54.727433	0	50	"AKUTAN"	1	1
102	360	511	128	"2009-12-01 08:00:00"	0	28	367161350	"r"	"17PDUT1"	-166.54854	53.877347	0	0	"DUTCH HARBOR"	1	1
2	32	134	0	"2009-12-01 08:00:00"	8	32	212015000	"r"	"17PAKU1"	-165.092637	54.693393	70	184	"PUSAN"	1	1
102	360	511	128	"2009-12-01 08:00:00"	7	41	366433000	"r"	"17PDUT1"	-166.526727	53.903228	0	37	"HOME"	1	1
5	67	72	0	"2009-12-01 08:30:00"	0	17	319653000	"r"	"17PUGA1"	-166.555875	54.296875	70	185	"PASIR GUDANG"	0	2
11	266	270	0	"2009-12-01 08:30:00"	0	21	355521000	"r"	"17PAKU1"	-165.781337	54.388208	70	190	"HAKATA,JAPAN"	0	2
4	139	161	0	"2009-12-01 08:30:00"	7	24	303628000	"r"	"17PAKU1"	-165.030867	54.701933	0	50	"AKUTAN"	0	2
8	62	57	129	"2009-12-01 08:59:00"	15	44	367386410	"r"	"17PKIN1"	-162.335028	55.032233	30	19	NA	1	3
8	37	34	0	"2009-12-01 08:59:59"	15	44	367386410	"r"	"17PKIN1"	-162.332375	55.03374	30	19	NA	1.98333333333333	1
10	337	340	127	"2009-12-01 09:30:00"	7	24	303628000	"r"	"17PAKU1"	-165.1597	54.753333	0	50	"AKUTAN"	0	2
102	360	511	128	"2009-12-01 09:30:00"	7	41	366433000	"r"	"17PDUT1"	-166.526718	53.903247	0	37	"HOME"	0	2
3	242	237	0	"2009-12-01 09:30:00"	0	17	319653000	"r"	"17PUGA1"	-166.499325	54.316302	70	185	"PASIR GUDANG"	0	2
12	273	273	0	"2009-12-01 09:30:00"	0	21	355521000	"r"	"17PUGA1"	-166.105382	54.385738	70	190	"HAKATA,JAPAN"	0	2
2	37	130	0	"2009-12-01 09:30:00"	8	32	212015000	"r"	"17PAKU1"	-165.04462	54.741253	70	184	"PUSAN"	0	2
102	360	511	128	"2009-12-01 09:59:00"	0	28	367161350	"r"	"17PUGA1"	-166.548497	53.877375	0	0	"DUTCH HARBOR"	1	3
12	23	21	0	"2009-12-01 10:00:00"	0	21	355521000	"r"	"17PUGA1"	-166.226238	54.411142	70	190	"HAKATA,JAPAN"	1	1
4	254	249	0	"2009-12-01 10:00:00"	0	17	319653000	"r"	"17PUGA1"	-166.547508	54.308207	70	185	"PASIR GUDANG"	1	1
102	360	511	128	"2009-12-01 10:00:00"	7	41	366433000	"r"	"17PUGA1"	-166.526703	53.903262	0	37	"HOME"	1	1
4	254	247	0	"2009-12-01 10:58:59"	0	17	319653000	"r"	"17PUGA1"	-166.645647	54.291985	70	185	"PASIR GUDANG"	0.0166666666666657	3
11	260	257	0	"2009-12-01 10:58:59"	0	21	355521000	"r"	"17PUGA1"	-166.288763	54.50784	70	190	"HAKATA,JAPAN"	0.0166666666666657	3
102	360	511	128	"2009-12-01 10:58:59"	7	41	366433000	"r"	"17PUGA1"	-166.526718	53.903252	0	37	"HOME"	0.0166666666666657	3
3	214	212	0	"2009-12-01 10:58:59"	8	32	212015000	"r"	"17PAKU1"	-164.996393	54.764803	70	184	"PUSAN"	0.0166666666666657	3
5	159	183	127	"2009-12-01 10:58:59"	7	24	303628000	"r"	"17PAKU1"	-165.138383	54.710133	0	50	"AKUTAN"	0.0166666666666657	3
4	256	247	0	"2009-12-01 11:00:00"	0	17	319653000	"r"	"17PAKU1"	-166.647363	54.29168	70	185	"PASIR GUDANG"	1	1
10	260	258	0	"2009-12-01 11:00:00"	0	21	355521000	"r"	"17PAKU1"	-166.2938	54.507375	70	190	"HAKATA,JAPAN"	1	1
102	360	511	128	"2009-12-01 11:00:00"	7	41	366433000	"r"	"17PUGA1"	-166.526723	53.90325	0	37	"HOME"	1	1
2	211	196	0	"2009-12-01 11:00:00"	7	24	303628000	"r"	"17PAKU1"	-165.138483	54.709433	0	50	"AKUTAN"	1	1
3	171	153	129	"2009-12-01 11:30:00"	7	24	303628000	"r"	"17PAKU1"	-165.12975	54.684083	0	50	"AKUTAN"	0	2
10	259	256	0	"2009-12-01 11:30:00"	0	21	355521000	"r"	"17PUGA1"	-166.443137	54.494165	70	190	"HAKATA,JAPAN"	0	2
4	250	244	0	"2009-12-01 11:30:00"	0	17	319653000	"r"	"17PUGA1"	-166.697715	54.284017	70	185	"PASIR GUDANG"	0	2
102	360	511	128	"2009-12-01 11:30:00"	7	41	366433000	"r"	"17PDUT1"	-166.526728	53.903247	0	37	"HOME"	0	2
102	360	511	128	"2009-12-01 11:30:00"	0	28	367161350	"r"	"17PDUT1"	-166.548547	53.877343	0	0	"DUTCH HARBOR"	0	2
2	227	229	0	"2009-12-01 11:30:00"	0	18	357847000	"r"	"17PDUT1"	-166.452645	54.12739	70	300	"CHIBA JAPAN"	0	2
5	247	245	0	"2009-12-01 11:30:00"	8	32	212015000	"r"	"17PAKU1"	-165.050135	54.742862	70	184	"PUSAN"	0	2
11	261	257	0	"2009-12-01 12:30:00"	0	21	355521000	"r"	"17PUGA1"	-166.746922	54.46384	70	190	"HAKATA,JAPAN"	0	2
4	250	242	0	"2009-12-01 12:30:00"	0	17	319653000	"r"	"17PAKU1"	-166.797068	54.265707	70	185	"PASIR GUDANG"	0	2
9	212	213	0	"2009-12-01 12:30:00"	8	32	212015000	"r"	"17PAKU1"	-165.192255	54.648012	70	184	"PUSAN"	0	2
102	360	511	128	"2009-12-01 12:30:00"	7	41	366433000	"r"	"17PDUT1"	-166.526738	53.903245	0	37	"HOME"	0	2
4	258	252	0	"2009-12-01 13:00:00"	0	17	319653000	"r"	"17PUGA1"	-166.850807	54.252843	70	185	"PASIR GUDANG"	1	1
10	346	349	0	"2009-12-01 13:00:00"	7	24	303628000	"r"	"17PAKU1"	-165.141183	54.763933	0	50	"AKUTAN"	1	1
102	360	511	128	"2009-12-01 13:00:00"	7	41	366433000	"r"	"17PUGA1"	-166.526727	53.903257	0	37	"HOME"	1	1
9	217	214	0	"2009-12-01 13:00:00"	8	32	212015000	"r"	"17PAKU1"	-165.261237	54.588723	70	184	"PUSAN"	1	1
9	334	511	128	"2009-12-01 13:58:59"	0	27	367302760	"r"	"17PDUT1"	-166.579327	53.998995	30	0	"SEATTLE"	0.0166666666666657	3
102	360	511	128	"2009-12-01 13:58:59"	7	41	366433000	"r"	"17PDUT1"	-166.526695	53.903242	0	37	"HOME"	0.0166666666666657	3
