"SOG" "COG" "Heading" "ROT" "BaseDateTime" "Status" "VoyageID" "MMSI" "ReceiverType" "ReceiverID" "coords.x1" "coords.x2" "monthday" "keep"
18.5 264 264 0 2012-12-02 11:59:35 0 17 249998000 "r" "17MADA1" -178.348333 50.8968 "12-2" 1
19.5 262 262 0 2012-12-02 12:00:23 0 19 356000439 "r" "17MADA1" -178.657667 50.684667 "12-2" 1
12.1999998092651 84.5 87 7 2012-12-02 12:03:17 0 10 311020503 "r" "17MADA1" -176.327332 50.425067 "12-2" 1
17.3999996185303 78 80 7 2012-12-02 12:12:13 0 26 311008061 "r" "17MADA1" -178.950483 50.499417 "12-2" 1
18.6000003814697 87.8000030517578 87 251 2012-12-02 12:14:19 0 30 228533009 "r" "17MADP1" -175.618333 54.437167 "12-2" 2
11.1999998092651 80.0999984741211 85 0 2012-12-02 12:16:31 0 31 357446000 "r" "17MADA1" -179.96163 51.003845 "12-2" 2
11.3999996185303 269.600006103516 268 129 2012-12-02 12:41:21 0 25 258010079 "r" "17MADP1" -175.217852 54.325473 "12-2" 1
30.1000003814697 224.399993896484 18 190 2012-12-02 13:28:38 1 32 276800242 "r" "08RROB1" -175.308967 29.262512 "12-2" 2
13 84.4000015258789 86 0 2012-12-02 14:10:10 0 33 441071000 "r" "17MADA1" -177.121243 54.221538 "12-2" 2
12.8999996185303 80 83 0 2012-12-02 14:11:19 0 34 258000877 "r" "17MADA1" -179.48655 51.060013 "12-2" 2
20.1000003814697 78 79 0 2012-12-02 16:34:43 0 35 564004308 "r" "17MADA1" -177.305333 53.631167 "12-2" 2
18.2999992370605 266 266 0 2012-12-02 16:43:34 0 36 372904050 "r" "17MADP1" -175.018583 54.297417 "12-2" 2
11.8999996185303 222.699996948242 225 0 2012-12-02 17:08:21 0 15 373420700 "r" "17MADA1" -178.60356 52.524763 "12-2" 1
15.1999998092651 271.299987792969 270 0 2012-12-02 18:32:39 0 37 441000781 "r" "17MADP1" -174.700383 54.58356 "12-2" 2
12 78 78 0 2012-12-02 20:03:47 0 38 576220900 "r" "17MADA1" -179.407533 49.711133 "12-2" 2
18.2999992370605 268 268 0 2012-12-02 20:18:18 0 39 563000709 "r" "17MADP1" -174.739473 54.707187 "12-2" 2
13.6000003814697 265 269 9 2012-12-02 21:27:48 0 40 538400736 "r" "17MADP1" -175.581 53.891833 "12-2" 2
13.8000001907349 80 83 245 2012-12-03 03:33:17 0 34 258000877 "r" "17MADA1" -174.853478 51.526318 "12-3" 2
12.1000003814697 82.6999969482422 85 0 2012-12-03 03:59:30 0 31 357446000 "r" "17MADA1" -175.376962 51.470632 "12-3" 1
18 260.299987792969 260 0 2012-12-03 04:09:48 0 41 563000574 "r" "17MADA1" -174.165038 49.791927 "12-3" 1
18.1000003814697 261.799987792969 261 0 2012-12-03 04:11:55 0 41 563000574 "r" "17MADA1" -174.181178 49.790233 "12-3" 1
19.1000003814697 83 83 0 2012-12-03 04:14:53 0 42 235036081 "r" "17MADP1" -178.186683 54.166317 "12-3" 2
11.8999996185303 76.9000015258789 80 0 2012-12-03 05:16:00 0 31 357446000 "r" "17MADA1" -174.973718 51.511183 "12-3" 1
12.3000001907349 75 79 0 2012-12-03 10:36:26 0 38 576220900 "r" "17MADA1" -174.825217 50.33985 "12-3" 1
12.1999998092651 75 79 0 2012-12-03 10:38:26 0 38 576220900 "r" "17MADA1" -174.8151 50.341483 "12-3" 1
11 80 75 0 2012-12-04 08:32:22 0 43 215005703 "r" "17MADA1" -178.963383 51.077433 "12-4" 1
11.8000001907349 82 80 0 2012-12-04 11:59:40 0 43 215005703 "r" "17MADA1" -177.9329 51.15845 "12-4" 1
51.4000015258789 333.399993896484 359 2 2012-12-05 05:31:15 0 44 270247069 "b" "003669709" -179.062353 34.259483 "12-5" 2
13.3000001907349 74.5 74 0 2012-12-05 07:39:02 0 45 257000349 "r" "17MADA1" -177.268627 51.038417 "12-5" 1
7.19999980926514 248 511 128 2012-12-05 09:57:35 15 46 303940600 "r" "17MADA1" -175.748035 52.220817 "12-5" 1
15.3000001907349 72.3000030517578 72 0 2012-12-05 10:39:37 0 47 636069210 "r" "17MADA1" -176.356258 50.710652 "12-5" 1
15.5 71.5999984741211 72 0 2012-12-05 10:58:35 0 47 636069210 "r" "17MADA1" -176.234937 50.735068 "12-5" 1
