"SOG"	"COG"	"Heading"	"ROT"	"BaseDateTime"	"Status"	"VoyageID"	"MMSI"	"ReceiverType"	"ReceiverID"	"coords.x1"	"coords.x2"	"VesselType"	"Length"	"Destination"	"min_timediff"	"interval"
11	190	189	0	"2010-12-01 08:00:00"	7	19	338000041	"r"	"17PBAL1"	-166.4766	53.938117	30	33	"DUTCH"	1	1
13	254	256	0	"2010-12-01 08:00:00"	0	25	477090472	"r"	"17PAKU1"	-164.165887	53.81585	70	229	"JINGTANG  CHINA"	1	1
23	86	86	0	"2010-12-01 08:30:00"	0	30	636051222	"r"	"17PBAL1"	-167.707733	54.35525	70	274	"TACOMA"	0	2
23	86	86	0	"2010-12-01 08:30:00"	0	30	636051222	"r"	"17PBAL1"	-167.707733	54.35525	70	274	"LOS ANGELES"	0	2
23	86	86	0	"2010-12-01 08:30:00"	0	30	636051222	"r"	"17PBAL1"	-167.707733	54.35525	70	274	"OAKLAND"	0	2
23	86	86	0	"2010-12-01 08:30:00"	0	30	636051222	"r"	"17PBAL1"	-167.707733	54.35525	70	274	"PUSAN"	0	2
3	303	284	129	"2010-12-01 08:30:00"	7	19	338000041	"r"	"17PDUT1"	-166.511117	53.9094	30	33	"DUTCH"	0	2
13	253	255	0	"2010-12-01 08:30:00"	0	25	477090472	"r"	"17PAKU1"	-164.341335	53.784773	70	229	"JINGTANG  CHINA"	0	2
13	276	278	0	"2010-12-01 08:30:00"	0	31	372304050	"r"	"17PAKU1"	-164.5556	54.315533	70	169	"VS HYG >> CN TAG"	0	2
102	360	511	128	"2010-12-01 08:51:00"	0	20	366833057	"r"	"17PBAL1"	-166.541442	53.878805	0	40	"DUTCH HARBOR"	9	3
13	254	254	0	"2010-12-01 09:30:00"	0	25	477090472	"r"	"17PAKU1"	-164.694453	53.722753	70	229	"JINGTANG  CHINA"	0	2
22	87	89	0	"2010-12-01 09:30:00"	0	30	636051222	"r"	"17PBAL1"	-167.078567	54.372917	70	274	"TACOMA"	0	2
22	87	89	0	"2010-12-01 09:30:00"	0	30	636051222	"r"	"17PBAL1"	-167.078567	54.372917	70	274	"LOS ANGELES"	0	2
22	87	89	0	"2010-12-01 09:30:00"	0	30	636051222	"r"	"17PBAL1"	-167.078567	54.372917	70	274	"OAKLAND"	0	2
22	87	89	0	"2010-12-01 09:30:00"	0	30	636051222	"r"	"17PBAL1"	-167.078567	54.372917	70	274	"PUSAN"	0	2
10	275	277	0	"2010-12-01 09:30:00"	0	31	372304050	"r"	"17PAKU1"	-164.886533	54.340517	70	169	"VS HYG >> CN TAG"	0	2
21	267	271	0	"2010-12-01 10:00:00"	0	45	351000325	"r"	"17PAKU1"	-162.253467	54.1295	70	279	"JP TYO"	1	1
