"SOG"	"COG"	"Heading"	"ROT"	"BaseDateTime"	"Status"	"VoyageID"	"MMSI"	"ReceiverType"	"ReceiverID"	"coords.x1"	"coords.x2"	"VesselType"	"Length"	"Destination"	"min_timediff"	"interval"
8	67	63	127	"2011-12-01 08:00:00"	0	12	366389048	"r"	"17MBAL1"	-165.62792	54.061722	38	25	"SEATTLE"	1	1
21	280	279	0	"2011-12-01 08:00:00"	0	15	357009204	"r"	"17MAKU1"	-165.813315	54.43418	71	298	"JP TYO"	1	1
21	280	279	0	"2011-12-01 08:00:00"	0	15	357009204	"r"	"17MAKU1"	-165.813315	54.43418	71	298	"BALBOA"	1	1
9	143	139	0	"2011-12-01 08:00:00"	15	17	368009600	"r"	"17MBAL1"	-166.665365	54.072773	30	30	NA	1	1
14	269	270	0	"2011-12-01 08:00:00"	0	24	371900090	"r"	"17MBAL1"	-167.089417	54.448033	70	224	"KR INC"	1	1
24	92	92	0	"2011-12-01 08:00:00"	0	25	636069210	"r"	"17MBAL1"	-167.647943	54.477282	79	299	"CN YAN > CA PRR"	1	1
24	92	92	0	"2011-12-01 08:00:00"	0	25	636069210	"r"	"17MBAL1"	-167.647943	54.477282	79	299	"CA PRR > CA VAN"	1	1
24	92	92	0	"2011-12-01 08:00:00"	0	25	636069210	"r"	"17MBAL1"	-167.647943	54.477282	79	299	"CA VAN > US SEA"	1	1
24	92	92	0	"2011-12-01 08:00:00"	0	25	636069210	"r"	"17MBAL1"	-167.647943	54.477282	79	299	"US SEA > JP YKH"	1	1
24	92	92	0	"2011-12-01 08:00:00"	0	25	636069210	"r"	"17MBAL1"	-167.647943	54.477282	79	299	"US SEA > JP YOK"	1	1
19	88	87	0	"2011-12-01 08:00:00"	0	29	477000669	"r"	"17MBAL1"	-166.79195	54.36875	71	260	"SEATTLE USA"	1	1
19	88	87	0	"2011-12-01 08:00:00"	0	29	477000669	"r"	"17MBAL1"	-166.79195	54.36875	71	260	"OAKLAND USA"	1	1
19	88	87	0	"2011-12-01 08:00:00"	0	29	477000669	"r"	"17MBAL1"	-166.79195	54.36875	71	260	"BALBOA PANAMA"	1	1
19	88	87	0	"2011-12-01 08:00:00"	0	29	477000669	"r"	"17MBAL1"	-166.79195	54.36875	71	260	"SAVANNAH  USA"	1	1
19	88	87	0	"2011-12-01 08:00:00"	0	29	477000669	"r"	"17MBAL1"	-166.79195	54.36875	71	260	"NORFOLK USA"	1	1
19	88	87	0	"2011-12-01 08:00:00"	0	29	477000669	"r"	"17MBAL1"	-166.79195	54.36875	71	260	"NEW YORK USA"	1	1
19	88	87	0	"2011-12-01 08:00:00"	0	29	477000669	"r"	"17MBAL1"	-166.79195	54.36875	71	260	"HALIFAX"	1	1
14	96	100	0	"2011-12-01 08:16:00"	0	44	477210017	"r"	"17MKIN1"	-162.511917	54.116733	70	225	"TACOMA"	14	2
14	96	100	0	"2011-12-01 08:16:00"	0	44	477210017	"r"	"17MKIN1"	-162.511917	54.116733	70	225	"XINSHA"	14	2
21	272	273	0	"2011-12-01 08:30:00"	0	15	357009204	"r"	"17MBAL1"	-166.114055	54.453923	71	298	"JP TYO"	0	2
21	272	273	0	"2011-12-01 08:30:00"	0	15	357009204	"r"	"17MBAL1"	-166.114055	54.453923	71	298	"BALBOA"	0	2
19	88	87	0	"2011-12-01 08:30:00"	0	29	477000669	"r"	"17MBAL1"	-166.516412	54.379752	71	260	"SEATTLE USA"	0	2
19	88	87	0	"2011-12-01 08:30:00"	0	29	477000669	"r"	"17MBAL1"	-166.516412	54.379752	71	260	"OAKLAND USA"	0	2
19	88	87	0	"2011-12-01 08:30:00"	0	29	477000669	"r"	"17MBAL1"	-166.516412	54.379752	71	260	"BALBOA PANAMA"	0	2
19	88	87	0	"2011-12-01 08:30:00"	0	29	477000669	"r"	"17MBAL1"	-166.516412	54.379752	71	260	"SAVANNAH  USA"	0	2
19	88	87	0	"2011-12-01 08:30:00"	0	29	477000669	"r"	"17MBAL1"	-166.516412	54.379752	71	260	"NORFOLK USA"	0	2
19	88	87	0	"2011-12-01 08:30:00"	0	29	477000669	"r"	"17MBAL1"	-166.516412	54.379752	71	260	"NEW YORK USA"	0	2
