"SOG"	"COG"	"Heading"	"ROT"	"BaseDateTime"	"Status"	"VoyageID"	"MMSI"	"ReceiverType"	"ReceiverID"	"coords.x1"	"coords.x2"	"VesselType"	"Length"	"Destination"	"min_timediff"	"interval"
16	275	277	0	"2009-10-01 07:00:00"	0	2	538090021	"r"	"17PUGA1"	-165.007433	54.339383	70	173	"TOMAKOMAI"	1	1
6	136	138	127	"2009-10-01 07:00:00"	15	5	338104000	"r"	"17PUGA1"	-166.682802	54.078242	30	15	NA	1	1
6	122	109	129	"2009-10-01 07:00:00"	7	6	338688800	"r"	"17PUGA1"	-166.180565	53.94832	30	25	"SEATTLE"	1	1
8	24	511	128	"2009-10-01 07:00:00"	0	10	368565000	"r"	"17PAKU1"	-165.450228	54.730017	30	30	"AKUTAN AK."	1	1
8	112	511	128	"2009-10-01 07:00:00"	0	14	367170270	"r"	"17PAKU1"	-166.171765	54.551035	30	32	"DUTCH"	1	1
15	95	97	0	"2009-10-01 07:00:00"	0	17	352737000	"r"	"17PBAL1"	-167.397667	54.451333	70	218	"PORT ANGELES P.STN."	1	1
16	277	273	0	"2009-10-01 07:00:00"	0	18	357293000	"r"	"17PAKU1"	-166.916042	54.432673	70	184	"MOKPO SO.KOREA"	1	1
1	113	5	0	"2009-10-01 07:00:00"	0	19	352866000	"r"	"17PUGA1"	-166.39215	54.34265	80	179	"DUTCH HARBOR"	1	1
7	309	305	0	"2009-10-01 07:00:00"	0	22	366819310	"r"	"17PAKU1"	-165.043117	53.9675	30	76	NA	1	1
10	11	511	128	"2009-10-01 07:00:00"	0	24	303429000	"r"	"17PUGA1"	-165.95982	54.62544	30	37	"SW ALASKA"	1	1
12	239	241	127	"2009-10-01 07:00:00"	8	29	354493000	"r"	"17PBAL1"	-167.431283	53.94	70	120	"ADAK_USA"	1	1
9	239	239	0	"2009-10-01 07:00:00"	7	30	367170350	"r"	"17PUGA1"	-166.555702	54.129613	30	54	"FISHING GROUNDS"	1	1
2	25	347	129	"2009-10-01 07:00:00"	0	31	303158000	"r"	"17PAKU1"	-165.464857	54.82586	0	39	"AKUTAN ALASKA"	1	1
9	20	13	0	"2009-10-01 07:00:00"	0	33	367026970	"r"	"17PAKU1"	-165.820713	54.571322	0	51	"AKUTAN/FISHING GROUL"	1	1
9	199	511	128	"2009-10-01 07:00:00"	7	34	367046940	"r"	"17PAKU1"	-165.479285	54.698512	30	40	"AKUTAN AK"	1	1
13	281	281	0	"2009-10-01 07:00:00"	0	37	477173100	"r"	"17PAKU1"	-165.16705	54.343617	79	190	"KOBE"	1	1
9	335	336	0	"2009-10-01 07:00:00"	0	39	366887950	"r"	"17PUGA1"	-166.544382	54.109672	32	45	"CAPTS BAY AK"	1	1
11	266	265	0	"2009-10-01 07:00:00"	0	41	351617000	"r"	"17PUGA1"	-166.72525	54.401733	70	169	"INCHION_KOREA"	1	1
11	267	260	0	"2009-10-01 07:30:00"	0	41	351617000	"r"	"17PBAL1"	-166.878617	54.398033	70	169	"INCHION_KOREA"	0	2
9	42	39	0	"2009-10-01 07:30:00"	15	5	338104000	"r"	"17PUGA1"	-166.632277	54.132827	30	15	NA	0	2
8	349	358	127	"2009-10-01 07:30:00"	0	39	366887950	"r"	"17PUGA1"	-166.579152	54.178818	32	45	"CAPTS BAY AK"	0	2
7	10	511	128	"2009-10-01 07:30:00"	0	10	368565000	"r"	"17PAKU1"	-165.414228	54.791843	30	30	"AKUTAN AK."	0	2
15	97	98	0	"2009-10-01 07:30:00"	0	17	352737000	"r"	"17PUGA1"	-167.183883	54.43585	70	218	"PORT ANGELES P.STN."	0	2
17	273	272	0	"2009-10-01 07:30:00"	0	18	357293000	"r"	"17PAKU1"	-167.151445	54.443043	70	184	"MOKPO SO.KOREA"	0	2
8	109	511	128	"2009-10-01 07:30:00"	0	14	367170270	"r"	"17PAKU1"	-166.064645	54.527483	30	32	"DUTCH"	0	2
10	13	511	128	"2009-10-01 07:30:00"	0	24	303429000	"r"	"17PUGA1"	-165.932355	54.705047	30	37	"SW ALASKA"	0	2
15	280	280	0	"2009-10-01 07:30:00"	0	2	538090021	"r"	"17PAKU1"	-165.234183	54.362583	70	173	"TOMAKOMAI"	0	2
9	198	511	128	"2009-10-01 07:30:00"	7	34	367046940	"r"	"17PAKU1"	-165.519062	54.625923	30	40	"AKUTAN AK"	0	2
9	22	20	0	"2009-10-01 07:30:00"	0	33	367026970	"r"	"17PBAL1"	-165.77894	54.642062	0	51	"AKUTAN/FISHING GROUL"	0	2
8	106	109	0	"2009-10-01 07:30:00"	7	6	338688800	"r"	"17PAKU1"	-166.080413	53.929382	30	25	"SEATTLE"	0	2
1	107	0	0	"2009-10-01 07:30:00"	0	19	352866000	"r"	"17PUGA1"	-166.3778	54.33875	80	179	"DUTCH HARBOR"	0	2
7	303	303	129	"2009-10-01 07:30:00"	0	22	366819310	"r"	"17PAKU1"	-165.126317	53.99965	30	76	NA	0	2
3	284	267	129	"2009-10-01 07:30:00"	7	30	367170350	"r"	"17PBAL1"	-166.654503	54.101567	30	54	"FISHING GROUNDS"	0	2
13	239	243	0	"2009-10-01 07:30:59"	8	29	354493000	"r"	"17PBAL1"	-167.5859	53.882033	70	120	"ADAK_USA"	1.98333333333333	2
12	242	242	129	"2009-10-01 07:56:59"	8	29	354493000	"r"	"17PUGA1"	-167.714417	53.83905	70	120	"ADAK_USA"	2.01666666666667	3
8	24	511	128	"2009-10-01 07:59:00"	0	10	368565000	"r"	"17PAKU1"	-165.378387	54.853752	30	30	"AKUTAN AK."	1	3
6	217	511	128	"2009-10-01 07:59:00"	0	4	366987660	"r"	"17PUGA1"	-166.520668	53.90328	0	120	"1"	1	3
1	112	13	0	"2009-10-01 08:30:00"	0	19	352866000	"r"	"17PBAL1"	-166.353117	54.331633	80	179	"DUTCH HARBOR"	0	2
2	108	106	129	"2009-10-01 08:30:00"	0	22	366819310	"r"	"17PUGA1"	-165.072867	53.944233	30	76	NA	0	2
10	20	20	127	"2009-10-01 08:30:00"	0	33	367026970	"r"	"17PAKU1"	-165.690593	54.790822	0	51	"AKUTAN/FISHING GROUL"	0	2
9	0	356	0	"2009-10-01 08:30:00"	0	39	366887950	"r"	"17PAKU1"	-166.604287	54.328233	32	45	"CAPTS BAY AK"	0	2
11	21	17	127	"2009-10-01 08:30:00"	0	43	367309330	"r"	"17PAKU1"	-166.41363	54.041455	32	31	"DUTCH"	0	2
16	96	98	0	"2009-10-01 08:30:00"	0	17	352737000	"r"	"17PAKU1"	-166.73775	54.41195	70	218	"PORT ANGELES P.STN."	0	2
10	10	511	128	"2009-10-01 08:30:00"	0	24	303429000	"r"	"17PAKU1"	-165.883678	54.863213	30	37	"SW ALASKA"	0	2
11	92	511	128	"2009-10-01 08:30:00"	0	46	367332000	"r"	"17PAKU1"	-165.155883	55.007417	0	28	"FISHING GROUNDS"	0	2
22	278	279	0	"2009-10-01 08:30:00"	0	50	354367000	"r"	"17PFAL1"	-162.65938	54.127242	71	279	"KOBE"	0	2
8	31	511	128	"2009-10-01 08:30:00"	0	10	368565000	"r"	"17PAKU1"	-165.338898	54.92064	30	30	"AKUTAN AK."	0	2
12	268	267	0	"2009-10-01 08:30:00"	0	41	351617000	"r"	"17PAKU1"	-167.221633	54.381267	70	169	"INCHION_KOREA"	0	2
4	232	511	128	"2009-10-01 08:30:00"	0	14	367170270	"r"	"17PBAL1"	-166.028928	54.4698	30	32	"DUTCH"	0	2
2	326	328	0	"2009-10-01 08:30:00"	7	30	367170350	"r"	"17PUGA1"	-166.679703	54.115442	30	54	"FISHING GROUNDS"	0	2
12	273	275	0	"2009-10-01 08:30:00"	0	37	477173100	"r"	"17PAKU1"	-165.699617	54.403217	79	190	"KOBE"	0	2
8	197	194	0	"2009-10-01 08:30:00"	0	38	368499000	"r"	"17PDUT1"	-166.5657	53.88375	152	54	"DUTCH HARBOR"	0	2
15	281	280	127	"2009-10-01 08:30:00"	0	2	538090021	"r"	"17PBAL1"	-165.65455	54.408067	70	173	"TOMAKOMAI"	0	2
16	270	269	0	"2009-10-01 08:30:00"	0	18	357293000	"r"	"17PBAL1"	-167.635953	54.453953	70	184	"MOKPO SO.KOREA"	0	2
9	17	13	129	"2009-10-01 08:30:00"	7	3	367124090	"r"	"17PDUT1"	-166.467457	53.938647	30	37	"FISHING COD"	0	2
1	165	172	129	"2009-10-01 08:30:00"	15	5	338104000	"r"	"17PBAL1"	-166.602817	54.123288	30	15	NA	0	2
9	197	511	128	"2009-10-01 08:30:00"	7	34	367046940	"r"	"17PAKU1"	-165.598597	54.48047	30	40	"AKUTAN AK"	0	2
8	94	92	127	"2009-10-01 08:30:00"	7	6	338688800	"r"	"17PBAL1"	-165.862227	53.911742	30	25	"SEATTLE"	0	2
6	104	511	128	"2009-10-01 08:30:00"	0	4	366987660	"r"	"17PDUT1"	-166.517162	53.89475	0	120	"1"	0	2
7	310	511	128	"2009-10-01 08:59:00"	0	4	366987660	"r"	"17PBAL1"	-166.505795	53.934958	0	120	"1"	1	3
8	34	511	128	"2009-10-01 08:59:00"	0	10	368565000	"r"	"17PAKU1"	-165.286963	54.97398	30	30	"AKUTAN AK."	1	3
17	270	270	0	"2009-10-01 08:59:00"	0	18	357293000	"r"	"17PUGA1"	-167.867033	54.45363	70	184	"MOKPO SO.KOREA"	1	3
15	281	282	0	"2009-10-01 09:00:00"	0	2	538090021	"r"	"17PUGA1"	-165.85375	54.434083	70	173	"TOMAKOMAI"	1	1
7	314	511	128	"2009-10-01 09:00:00"	0	4	366987660	"r"	"17PUGA1"	-166.508108	53.936227	0	120	"1"	1	1
9	198	511	128	"2009-10-01 09:00:00"	7	34	367046940	"r"	"17PBAL1"	-165.636325	54.41177	30	40	"AKUTAN AK"	1	1
8	90	90	127	"2009-10-01 09:00:00"	7	6	338688800	"r"	"17PBAL1"	-165.7516	53.909545	30	25	"SEATTLE"	1	1
10	10	511	128	"2009-10-01 09:00:00"	0	24	303429000	"r"	"17PAKU1"	-165.861548	54.9402	30	37	"SW ALASKA"	1	1
7	180	180	127	"2009-10-01 09:00:00"	15	5	338104000	"r"	"17PUGA1"	-166.60148	54.105212	30	15	NA	1	1
13	281	279	0	"2009-10-01 09:00:00"	0	37	477173100	"r"	"17PUGA1"	-165.873	54.421183	79	190	"KOBE"	1	1
9	41	41	0	"2009-10-01 09:00:00"	7	3	367124090	"r"	"17PUGA1"	-166.411348	54.007302	30	37	"FISHING COD"	1	1
8	230	511	128	"2009-10-01 09:00:00"	15	15	303496000	"r"	"17PKIN1"	-162.350395	55.016122	0	30	NA	1	1
1	106	9	0	"2009-10-01 09:00:00"	0	19	352866000	"r"	"17PUGA1"	-166.34045	54.329467	80	179	"DUTCH HARBOR"	1	1
22	280	277	0	"2009-10-01 09:00:00"	0	50	354367000	"r"	"17PFAL1"	-162.965933	54.152513	71	279	"KOBE"	1	1
9	348	339	0	"2009-10-01 09:00:00"	0	39	366887950	"r"	"17PUGA1"	-166.621162	54.402713	32	45	"CAPTS BAY AK"	1	1
11	19	17	0	"2009-10-01 09:00:00"	0	43	367309330	"r"	"17PUGA1"	-166.359163	54.129462	32	31	"DUTCH"	1	1
8	12	511	128	"2009-10-01 09:00:00"	0	10	368565000	"r"	"17PAKU1"	-165.284882	54.975772	30	30	"AKUTAN AK."	1	1
16	94	95	0	"2009-10-01 09:00:00"	0	17	352737000	"r"	"17PBAL1"	-166.502683	54.400617	70	218	"PORT ANGELES P.STN."	1	1
3	130	149	0	"2009-10-01 09:00:00"	0	22	366819310	"r"	"17PUGA1"	-165.048817	53.932683	30	76	NA	1	1
9	296	511	128	"2009-10-01 09:00:00"	0	46	367332000	"r"	"17PAKU1"	-165.129667	55.029033	0	28	"FISHING GROUNDS"	1	1
17	270	269	0	"2009-10-01 09:00:00"	0	18	357293000	"r"	"17PUGA1"	-167.875302	54.453598	70	184	"MOKPO SO.KOREA"	1	1
12	266	266	0	"2009-10-01 09:00:00"	0	41	351617000	"r"	"17PBAL1"	-167.39375	54.3774	70	169	"INCHION_KOREA"	1	1
9	20	22	0	"2009-10-01 09:00:00"	0	33	367026970	"r"	"17PAKU1"	-165.644743	54.867718	0	51	"AKUTAN/FISHING GROUL"	1	1
