MMSI,IMO,CallSign,Name,VesselType,Length,Width,DimensionComponents
316002059,12345678,CFL9803,GENERAL JACKSON,52,21,4,"8,13,1,3"
367330510,9507879,WDE2845,PATRICIA ANN,52,24,12,"12,12,6,6"
366902860,9059999,WBU5459,VICTORIA CLIPPER IV,60,36,10,"10,26,5,5"
316115000,6717760,CGBW,VECTOR,0,40,9,"11,29,7,2"
353954000,9072147,3FMS4,RIVER ELEGANCE,71,276,32,"213,63,16,16"
316001235,0,CZ3072,KLITSA,60,52,14,"26,26,7,7"
316003678,6503731,,SEASPAN QUEEN,32,27,9,"11,16,3,6"
366998490,507652,WDC2844,GRIZZLY,52,30,9,"13,17,5,4"
366208000,794462100,WDB9556,PAVLOF,30,55,9,"36,19,8,1"
366978720,1092296,WCZ8082,MILLENIUM FALCON,52,35,11,"12,23,6,5"
366738920,0,WYC3746,LISA_MELINDA,30,25,10,"10,15,5,5"
316003663,7434779,,SEASPAN CORSAIR,32,24,8,"5,19,6,2"
366969980,0,WZC8518,MARIN,60,30,70,"10,20,30,40"
357721000,9104603,HOYY,NORDTIDE,70,186,30,"158,28,11,19"
316009376,812309,CZ9149,FRASER TITAN,33,91,16,"60,31,8,8"
319894000,9233741,ZCIJ2,NELL JACOB,80,274,48,"235,39,21,27"
0,0,WCX7886,TUG LONE STAR STATE,31,12,6,"5,7,3,3"
636090587,9222974,A8AW2,CSCL KOBE,70,277,40,"185,92,20,20"
366982320,1120418,WDB9762,MARSHALL FOSS,31,28,12,"11,17,6,6"
357316000,9266475,HOWS,SILVER LINING,80,180,32,"150,30,22,10"
825675000,0,,MAI TAI TAI,37,33,4,"8,25,1,3"
366806940,0,WDA4208,VALHALLA,0,81,24,"23,58,4,20"
356105000,9317755,3EAS6,PORT STAR,70,176,29,"155,21,16,13"
303267000,6421086,WNGW,TUSTUMENA,69,90,18,"30,60,14,4"
563808000,9240578,S6AS8,DONG HAI BRIDGE,70,269,32,"207,62,30,2"
367003380,9233167,WDC3786,JEAN ANNE,70,176,31,"37,139,26,5"
367309320,6407834,WDD9277,JOHN BRIX,32,45,12,"12,33,6,6"
367137340,0,WDD3869,CAP EVANS,31,22,8,"9,13,5,3"
218071000,9290464,DDZK2,HANJIN BOSTON,79,300,42,"15,285,21,21"
367695000,9314997,WDD6039,HORIZON EAGLE,70,222,30,"170,52,24,6"
441579000,9161778,DSQH6,HANJIN OSLO,71,280,41,"191,89,11,30"
205367000,8818843,ONCA,CHACONIA,81,160,26,"123,37,13,13"
366929710,507694900,WM4599,COHO,60,105,15,"21,84,5,10"
366988940,1048576,WDC2169,NEILOHENLY,0,0,0,"0,0,0,0"
316146000,0,,HMCS PROTECTEUR,0,172,24,"54,118,5,19"
316003289,7343669,,PRINCESS SUPERIOR,0,113,20,"40,73,12,8"
316005416,331836,CY9519,JOSE NARVAEZ,52,25,7,"8,17,5,2"
367329330,7923299,WDE2762,CLEAN BAY II,54,51,12,"9,42,3,9"
367309280,0,WDD9274,NOKEA,52,32,10,"10,22,3,7"
367007980,5111359,WC3446,ANGIE M BRUSCO,52,28,8,"0,28,0,8"
338371000,9193551,WCAJ,POLAR ENDEAVOUR,80,273,46,"228,45,38,8"
367275000,0,NMFC,NU52,79,172,25,"100,72,16,9"
366998830,643765,WCW8912,ROYAL MELBOURNE,52,30,9,"10,20,2,7"
366173000,0,WDD6616,PROWLER,30,37,9,"24,13,3,6"
366980230,7316460,WBP2597,LELA JOY,31,26,8,"6,20,4,4"
367309260,736722500,WDD9272,SIRIUS,52,0,0,"0,0,0,0"
351215000,9343625,3EMP4,PHAROS SW,70,170,28,"145,25,20,8"
477280900,9284001,VRAA8,PORT PEGASUS,70,177,30,"155,22,15,15"
316001759,814102,CG7677,NEOCALIGUS,30,23,7,"4,19,0,7"
367122360,0,WCW7286,EMERALD STAR,60,32,6,"0,32,0,6"
316005417,326544,CY7903,CAPTAIN COOK,52,23,7,"4,19,5,2"
367309370,7945601,WDD9282,PACIFIC EAGLE,52,0,0,"0,0,0,0"
366993820,1,WBJ8989,WESTPOINT,0,0,0,"0,0,0,0"
366637150,0,WYR2936,HARRY M,52,32,10,"15,17,5,5"
316052000,8320456,CGJK,SIR WILFRID LAURIER,51,82,16,"34,48,10,6"
366998410,0,WCZ2977,DELTA DEANNA,52,33,13,"14,19,7,6"
249172000,9041461,9HLK4,ARCTIC VOYAGER,70,191,32,"156,35,16,16"
367365820,9144926,WDE5381,CALIFORNIA VOYAGER,84,189,32,"160,29,9,23"
366988620,0,WDC2145,VALLEJO,60,35,10,"10,25,7,3"
366982310,8219023,WDB9761,PACIFIC ESCORT,31,31,12,"11,20,5,7"
367153070,0,WDD5057,MIKIONA,32,140,24,"120,20,12,12"
316001232,6600967,VGXR,BOWEN QUEEN,69,88,18,"44,44,9,9"
367766000,1038571,WDD2611,WESTERN FLYER,33,34,16,"4,30,9,7"
367347050,0,WDC5827,BETTY LOU,31,21,12,"7,14,7,5"
235055089,9457787,MRZF3,AFTER EIGHT,37,0,0,"0,0,0,0"
316003453,0,CY7049,HECATE PRINCE,52,18,6,"4,14,1,5"
366772750,0,WCD7863,YAKIMA WSF,60,116,22,"22,94,11,11"
368240000,9205809,WDC6228,DOVE,52,90,20,"0,90,0,20"
538002889,9072226,V7MQ9,SJN INTREPID,70,185,30,"155,30,20,10"
366710810,0,WYX2158,WALLA WALLA,60,113,26,"24,89,13,13"
366773070,0,WYR7641,CATHLAMET,60,100,24,"20,80,12,12"
636014168,9386483,A8RV3,CMA CGM OPAL,70,259,32,"15,244,16,16"
219882000,9214898,OVYQ2,A.P. MOELLER,79,347,40,"244,103,20,20"
303014000,76044390,WSD7079,WECOMA,99,61,12,"20,41,6,6"
366887970,9139828,WCY2824,PROTECTOR,52,38,13,"19,19,7,6"
303935000,6711003,WTEF,RAINIER,90,71,12,"15,56,6,6"
366695810,1,WCU4545,WESTRAC II,32,0,0,"0,0,0,0"
303316000,9143037,WDB9986,SEALAND LIGHTNING,70,292,32,"221,71,16,16"
351851000,9172545,3FZN7,MELODIA,70,225,32,"192,33,10,22"
366999911,0,,CG25551,51,8,3,"5,3,2,1"
316009844,0,,WESTMINSTER HUNTER,52,13,7,"7,6,3,4"
100000000,0,VY5348,BRITANNIA,60,0,0,"0,0,0,0"
366933000,8963703,WBR4896,SPIRIT OF 98,69,64,13,"10,54,11,2"
366980210,5,WBF8157,CATHERINE QUIGG,31,0,0,"0,0,0,0"
366994770,0,WCZ8681,ISLAND WIND,0,0,0,"0,0,0,0"
366989360,0,WCX2709,INTINTOLI,60,41,12,"18,23,6,6"
366207630,0,WSA3739,MISS SUE,0,9,16,"3,6,10,6"
366980170,0,WCO7745,PACIFIC,32,0,0,"0,0,0,0"
366759130,0,WCY7938,WSF PUYALLUP,60,140,28,"110,30,14,14"
308856000,7925558,C6QC5,VICTORIA,70,241,32,"203,38,16,16"
352261000,9205627,H3CJ,OAKLAND,70,153,26,"129,24,9,17"
365940760,0,WDC2194,TUG KIMBERLEY,0,0,0,"0,0,0,0"
366985340,0,WCY6429,ENCINAL,60,28,10,"15,13,8,2"
538002650,9302475,V7KM9,MADRISA,70,166,26,"148,18,13,13"
316011409,9332779,CFN5145,COASTAL CELEBRATION,69,160,28,"26,134,14,14"
316001268,815277,VOSM,SPIRIT OF B.C.,69,168,28,"53,115,22,6"
211860000,9326744,DDDI2,YM TIANJIN,79,264,32,"11,253,16,16"
538070165,9399583,V71W6,M/Y HAPPY DAYS,37,52,10,"26,26,5,5"
316005722,8302777,,C.H.CATES II,52,22,9,"11,11,6,3"
316005622,0,VG 3278,WESTVIEW CHINOOK,31,16,7,"7,9,4,3"
366946000,0,WRYH,PACIFIC GLACIER,30,90,15,"23,67,12,3"
366893620,0,WBM8728,CALEB,31,31,8,"10,21,3,5"
366898250,1060909,WCY5694,GOLIAH,52,0,0,"0,0,0,0"
477109200,8604905,VRBU3,PAN LEADER,70,167,26,"141,26,11,15"
477292000,9256470,VRZL2,OOCL QINGDAO,70,323,43,"249,74,30,13"
636013629,9168154,A8MV5,FIESTA,70,181,26,"155,26,16,10"
367304990,0,WDD8952,COCHISE,31,60,10,"15,45,5,5"
366749710,0,WCY3378,WENATCHEE WSF,60,140,28,"30,110,14,14"
366234000,7391226,KFDB,WASHINGTON VOYAGER,83,199,30,"161,38,15,15"
369703000,9275438,WADY,OCEAN RELIANCE,89,184,24,"154,30,15,9"
636013706,8214683,A8OT7,APOSTOLOS D,70,244,32,"207,37,18,14"
366709770,0,WCX7878,CHELAN,60,60,26,"25,35,13,13"
316013397,9187241,CFN5283,SMIT MISSISSIPPI,52,31,12,"12,19,7,5"
316194000,9257735,CFN4641,NORTHERN ADVENTURE,60,118,20,"30,88,8,12"
636091278,9338058,A8LN2,ITAL ORIENTE,70,222,30,"169,53,15,15"
366772960,0,WYQ9302,KITTITAS WSF,60,100,24,"23,77,12,12"
316004500,7636028,,SEASPAN MONARCH,32,33,10,"5,28,6,4"
366932120,7029536,WY9383,JEFFREY FOSS,32,35,10,"9,26,3,7"
366955010,0,WDB8224,ZEEHAEN,0,30,70,"10,20,30,40"
477560600,9123972,VRAH9,ANDRE,70,177,26,"153,24,13,13"
316001266,0,VY6800,QUINSAM,69,88,20,"44,44,10,10"
316005717,0,,SEASPAN VENTURE,52,18,7,"9,9,4,3"
316003668,0,,SEASPAN GREG,91,100,11,"22,78,6,5"
366985270,0,WCY6430,HARBOR EMPEROR,60,28,11,"10,18,4,7"
316005448,0,CZ7652,F/V VIKING STORM,30,31,9,"14,17,4,5"
285084,7307550,WX8482,OCEAN MAID,70,45,10,"25,20,5,5"
366971980,1099591,WDA2184,MILLENNIUMSTAR,31,30,8,"12,18,4,4"
367082010,0,WDC8124,MISTY DAWN,0,22,8,"7,15,4,4"
366927570,8,WDB6620,ISLAND    SPIRIT,52,0,0,"0,0,0,0"
999999999,0,B BASE,BASE,55,35,12,"20,15,6,6"
366969470,0,WCC9851,ORION,31,31,10,"0,31,0,10"
